iter	MultiClass
0	1.384042183
1	1.377033836
2	1.369471073
3	1.364704829
4	1.359026673
5	1.35315046
6	1.342910429
7	1.340192688
8	1.336632622
9	1.332061096
10	1.322175535
11	1.318713071
12	1.316759693
13	1.306800971
14	1.297981663
15	1.292202364
16	1.286436689
17	1.282328792
18	1.278781105
19	1.277499706
20	1.27197557
21	1.268698149
22	1.261901068
23	1.258708902
24	1.254448619
25	1.25266924
26	1.246769614
27	1.245290886
28	1.242411832
29	1.23871318
30	1.233449764
31	1.22906114
32	1.227477296
33	1.22473546
34	1.22048191
35	1.21649222
36	1.212768008
37	1.209051644
38	1.205718257
39	1.205448451
40	1.203638415
41	1.198552515
42	1.193375904
43	1.191123864
44	1.187785052
45	1.182632822
46	1.182571532
47	1.174543697
48	1.17006655
49	1.16226197
50	1.157105036
51	1.154678858
52	1.151280254
53	1.146983974
54	1.138373882
55	1.133854003
56	1.130894222
57	1.125239252
58	1.124814814
59	1.120375655
60	1.11561214
61	1.111469042
62	1.104551129
63	1.101145371
64	1.096280686
65	1.093839271
66	1.091431173
67	1.084370975
68	1.081129263
69	1.076962842
70	1.070659578
71	1.068230352
72	1.065237572
73	1.058153373
74	1.055409108
75	1.048938714
76	1.046430111
77	1.044940518
78	1.040174212
79	1.033486705
80	1.026984089
81	1.019425915
82	1.015099898
83	1.010294782
84	1.005693958
85	1.002309013
86	0.9994898634
87	0.99382406
88	0.9908760842
89	0.9863992073
90	0.9813295762
91	0.9767155421
92	0.9708081154
93	0.9663399064
94	0.9599087962
95	0.9540240272
96	0.9520131671
97	0.9488119166
98	0.9426972364
99	0.9394980345
100	0.9346916949
101	0.9309093725
102	0.9274400049
103	0.9239198234
104	0.9207484738
105	0.9168510183
106	0.9115613814
107	0.9095377124
108	0.9050015812
109	0.9005285259
110	0.897561806
111	0.8949252344
112	0.890647121
113	0.8858225585
114	0.88101903
115	0.8772756523
116	0.87328499
117	0.8713723403
118	0.8665043837
119	0.8641944204
120	0.859900326
121	0.8552768968
122	0.853791123
123	0.8497986406
124	0.8460835206
125	0.8424325601
126	0.8381036907
127	0.8370271294
128	0.8324907614
129	0.827831816
130	0.8243233448
131	0.8204955956
132	0.8187107508
133	0.8161231999
134	0.8142279297
135	0.8125296586
136	0.8115795451
137	0.8087173983
