iter	Passed	Remaining
0	54	54763
1	126	62983
2	201	67056
3	227	56589
4	243	48542
5	310	51423
6	373	52962
7	487	60423
8	557	61428
9	630	62383
10	690	62098
11	755	62217
12	820	62270
13	1040	73267
14	1123	73771
15	1183	72758
16	1224	70809
17	1273	69464
18	1320	68196
19	1351	66235
20	1409	65725
21	1451	64545
22	1513	64273
23	1571	63908
24	1627	63462
25	1677	62849
26	1730	62347
27	1803	62622
28	1864	62413
29	1922	62147
30	1969	61562
31	2018	61060
32	2067	60579
33	2118	60196
34	2167	59748
35	2224	59572
36	2274	59199
37	2325	58870
38	2356	58065
39	2410	57843
40	2497	58415
41	2588	59046
42	2659	59185
43	2714	58986
44	2771	58809
45	2825	58596
46	2893	58660
47	2948	58478
48	3000	58237
49	3053	58012
50	3116	57983
51	3212	58568
52	3286	58723
53	3346	58620
54	3413	58649
55	3484	58745
56	3546	58674
57	3610	58639
58	3673	58584
59	3738	58575
60	3860	59432
61	3994	60426
62	4165	61948
63	4291	62758
64	4390	63161
65	4525	64038
66	4615	64267
67	4789	65649
68	5137	69319
69	5384	71534
70	5541	72504
71	5723	73771
72	5852	74321
73	5984	74883
74	6058	74721
75	6121	74429
76	6181	74092
77	6237	73724
78	6299	73435
79	6349	73023
80	6403	72647
81	6455	72272
82	6511	71935
83	6562	71564
84	6617	71240
85	6671	70904
86	6722	70543
87	6772	70191
88	6824	69856
89	6884	69612
90	6940	69324
91	6997	69066
92	7053	68789
93	7106	68496
94	7160	68211
95	7213	67930
96	7263	67618
97	7317	67354
98	7368	67061
99	7422	66804
100	7476	66546
101	7529	66285
102	7580	66019
103	7632	65756
104	7684	65497
105	7747	65339
106	7798	65083
107	7853	64861
108	7909	64652
109	7963	64433
110	8029	64311
111	8084	64100
112	8143	63919
113	8196	63702
114	8246	63464
115	8295	63214
116	8344	62974
117	8402	62804
118	8464	62665
119	8522	62498
120	8577	62309
121	8640	62179
122	8694	61990
123	8751	61822
124	8811	61682
125	8875	61567
126	8930	61385
127	8987	61227
128	9037	61020
129	9087	60817
130	9136	60606
131	9186	60411
132	9236	60207
133	9288	60026
134	9337	59827
135	9392	59672
136	9450	59528
137	9501	59348
138	9550	59157
139	9602	58985
140	9652	58803
141	9706	58647
142	9757	58479
143	9808	58303
144	9862	58154
145	9912	57982
146	9965	57827
147	10017	57671
148	10070	57516
149	10123	57369
150	10173	57198
151	10221	57023
152	10272	56865
153	10321	56702
154	10372	56548
155	10422	56386
156	10472	56232
157	10521	56072
158	10572	55923
159	10621	55763
160	10672	55616
161	10720	55456
162	10771	55311
163	10820	55158
164	10892	55125
165	10952	55026
166	11010	54922
167	11063	54791
168	11124	54700
169	11179	54582
170	11232	54452
